"X" "Y"
"1" -91.200476 36.732431
"2" -92.33 36.76
"3" -92.88 36.78
"4" -92.1 36.8
"5" -92.148671 36.818979
"6" -91.47 36.84
"7" -91.47 36.84
"8" -92.61 36.87
"9" -91.69 36.87
"10" -92.1 36.9
"11" -92.073369 36.91137
"12" -92.1 36.93
"13" -90.989101 36.948459
"14" -92.06 36.95
"15" -91.65 36.97
"16" -92.06 36.99
"17" -92.06 37.01
"18" -91.2 37.01
"19" -92.053889 37.014444
"20" -92.060556 37.016111
"21" -92.17 37.02
"22" -92.09 37.02
"23" -89.361196 37.167292
"24" -91.2975 37.168611
"25" -91.2975 37.168611
"26" -91.04 37.18
"27" -90.15 37.18
"28" -91.224167 37.180556
"29" -90.238718 37.246738
"30" -80.38628 37.24782
"31" -91.38 37.3
"32" -80.15497 37.3126
"33" -91.431898 37.323855
"34" -91.3 37.37
"35" -91.31 37.39
"36" -90.59 37.42
"37" -90.96 37.51
"38" -91.21 37.53
"39" -90.85 37.54
"40" -90.68 37.54
"41" -90.63 37.55
"42" -90.374835 37.55286
"43" -83.768401 37.570708
"44" -90.74 37.59
"45" -91.02 37.6
"46" -90.87 37.63
"47" -90.85 37.63
"48" -90.93 37.65
"49" -89.75 37.75
"50" -91.071658 37.771845
"51" -90.97 37.79
"52" -91.08 37.86
"53" -79.468097 38.47977
"54" -83.229186 38.72919
"55" -76.872109 38.784934
"56" -77.72083 38.80139
"57" -77.72083 38.80139
"58" -77.70639 38.86639
"59" -77.70639 38.86639
"60" -77.70639 38.86639
"61" -77.70639 38.86639
"62" -77.03667 38.895
"63" -77.03667 38.895
"64" -77.0575 38.89944
"65" -77.0575 38.89944
"66" -77.67444 38.9025
"67" -77.036464 38.907231
"68" -77.036464 38.907231
"69" -77.05278 38.91667
"70" -77.05028 38.93556
"71" -77.06583 38.93611
"72" -77.15917 38.94639
"73" -77.38639 38.96944
"74" -77.07667 38.97111
"75" -77.07667 38.97111
"76" -77.04417 38.97111
"77" -77.14917 38.9725
"78" -76.986982 38.975133
"79" -77.07083 38.99194
"80" -77.28861 38.99806
"81" -76.131995 39.026357
"82" -83.38496 39.056982
"83" -83.38496 39.056982
"84" -77.4775 39.10111
"85" -77.4775 39.10111
"86" -77.83417 39.11111
"87" -77.83417 39.11111
"88" -77.83417 39.11111
"89" -77.81982 39.222169
"90" -77.882462 39.305984
"91" -77.155 39.37611
"92" -77.4702 39.384452
"93" -82.548767 39.394379
"94" -82.548767 39.394379
"95" -76.733675 39.46476
"96" -78.9119 39.5676
"97" -76.363819 39.58388
"98" -82.404528 39.623053
"99" -75.252397 39.738492
"100" -75.623 39.8119
"101" -75.623 39.8119
"102" -75.623 39.8119
"103" -76.9483 40.0976
"104" -75.396116 40.132182
"105" -75.396116 40.132182
"106" -75.738498 40.266347
"107" -74.733712 40.30286
"108" -75.431032 40.326824
"109" -75.788529 40.408468
"110" -75.788529 40.408468
"111" -74.989888 40.427337
"112" -74.989888 40.427337
"113" -74.989888 40.427337
"114" -74.989888 40.427337
"115" -74.969891 40.484826
"116" -74.969891 40.484826
"117" -74.969891 40.484826
"118" -74.969891 40.484826
"119" -80.367691 40.50659
"120" -80.367691 40.50659
"121" -74.5366667 40.5766667
"122" -74.5366667 40.5766667
"123" -74.150165 40.579547
"124" -74.559764 40.601999
"125" -73.945 40.6193333
"126" -73.945 40.6193333
"127" -74.407379 40.633719
"128" -73.73896 40.658407
"129" -75.220732 40.688432
"130" -75.220732 40.688432
"131" -75.220732 40.688432
"132" -75.220732 40.688432
"133" -75.220732 40.688432
"134" -75.220732 40.688432
"135" -73.8255 40.7085
"136" -73.790857 40.711435
"137" -73.3565 40.7523333
"138" -73.3565 40.7523333
"139" -73.3565 40.7523333
"140" -73.3565 40.7523333
"141" -74.7161 40.7607
"142" -74.7161 40.7607
"143" -73.352576 40.765764
"144" -73.29677 40.784195
"145" -73.515481 40.810588
"146" -73.515481 40.810588
"147" -73.515481 40.810588
"148" -73.515481 40.810588
"149" -73.628461 40.810656
"150" -73.628461 40.810656
"151" -73.692 40.822
"152" -73.692 40.822
"153" -74.209005 40.825901
"154" -74.209005 40.825901
"155" -73.997639 40.848156
"156" -73.997639 40.848156
"157" -73.997639 40.848156
"158" -73.997639 40.848156
"159" -74.49277 40.84888
"160" -74.49277 40.84888
"161" -73.5261667 40.8593333
"162" -73.5261667 40.8593333
"163" -73.5261667 40.8593333
"164" -73.876797 40.861044
"165" -73.931411 40.861114
"166" -73.921286 40.867216
"167" -73.456788 40.871487
"168" -73.456788 40.871487
"169" -73.456788 40.871487
"170" -73.2546667 40.885
"171" -73.2546667 40.885
"172" -73.2546667 40.885
"173" -73.343172 40.90092
"174" -73.8233 40.9516
"175" -74.198146 40.970175
"176" -73.918688 40.970401
"177" -74.494088 40.997532
"178" -74.7388333 40.9983333
"179" -74.9164 41.000993
"180" -74.9164 41.000993
"181" -74.205701 41.016764
"182" -74.748446 41.024972
"183" -77.653806 41.044069
"184" -74.752665 41.058152
"185" -74.752665 41.058152
"186" -74.752665 41.058152
"187" -74.827112 41.087041
"188" -73.355 41.1381667
"189" -74.7516667 41.1411667
"190" -73.20472 41.16694
"191" -80.493399 41.233111
"192" -73.588858 41.244011
"193" -73.2084 41.2602
"194" -73.2084 41.2602
"195" -73.2084 41.2602
"196" -73.22472 41.26555
"197" -73.22472 41.26555
"198" -73.22416 41.26555
"199" -73.57109 41.304925
"200" -72.92805 41.30805
"201" -72.92805 41.30805
"202" -72.92805 41.30805
"203" -72.9247 41.3114
"204" -74.140841 41.313437
"205" -74.271527 41.315377
"206" -72.7006 41.3347
"207" -72.96083 41.33833
"208" -72.02972 41.34583
"209" -72.02972 41.34583
"210" -72.23 41.35305
"211" -72.717 41.367
"212" -73.4675 41.37007
"213" -73.4675 41.37007
"214" -73.4675 41.37007
"215" -72.31388 41.37416
"216" -73.451095 41.375884
"217" -72.5783 41.3792
"218" -73.955973 41.391483
"219" -73.955973 41.391483
"220" -72.73222 41.39666
"221" -72.76666 41.39722
"222" -73.4705 41.4014
"223" -74.031003 41.417615
"224" -74.031003 41.417615
"225" -72.26083 41.41916
"226" -72.69944 41.42
"227" -73.135 41.4314
"228" -73.912463 41.432465
"229" -73.11666 41.43388
"230" -74.084362 41.452627
"231" -71.8753 41.4697
"232" -73.2328 41.4744
"233" -73.23694 41.47611
"234" -73.23694 41.47611
"235" -73.23694 41.47611
"236" -73.23694 41.47611
"237" -72.34166 41.47611
"238" -73.213377 41.479312
"239" -73.213377 41.479312
"240" -72.71194 41.51722
"241" -71.80972 41.52777
"242" -72.7944 41.5367
"243" -72.79527 41.56444
"244" -72.75666 41.58055
"245" -72.88 41.605
"246" -73.40805 41.62388
"247" -72.3903 41.6594
"248" -72.8425 41.66111
"249" -72.5472 41.6921
"250" -72.08138 41.69833
"251" -72.8325 41.69972
"252" -73.47694 41.72472
"253" -73.47833 41.75472
"254" -72.24944 41.80833
"255" -71.84361 41.82722
"256" -73.29111 41.84722
"257" -72.87916 41.86055
"258" -72.2594 41.8895
"259" -72.1711 41.8911
"260" -73.42097 41.89416
"261" -72.45833 41.91666
"262" -72.45833 41.91666
"263" -72.45833 41.91666
"264" -72.16535 41.93053
"265" -72.72722 41.94111
"266" -71.432779 41.966667
"267" -71.432779 41.966667
"268" -73.42277 41.985
"269" -72.3123 41.9875
"270" -72.40972 41.99166
"271" -72.6789 41.9944
"272" -73.41638 41.99666
"273" -72.17416 42.01416
"274" -72.17416 42.01416
"275" -72.17416 42.01416
"276" -73.36333 42.03333
"277" -71.97 42.04
"278" -73.4985025369469 42.1179446087366
"279" -71.178621 42.12366
"280" -72.43166 42.123753
"281" -71.09015 42.187272
"282" -71.095928 42.196839
"283" -72.616201 42.204259
"284" -71.115181 42.211891
"285" -71.115181 42.211891
"286" -72.626956 42.234292
"287" -71.141881 42.264322
"288" -71.143324 42.265916
"289" -71.123338 42.296625
"290" -71.123338 42.296625
"291" -72.53138 42.30333
"292" -77.093877 42.441749
"293" -71.074083 42.443008
"294" -76.501881 42.443961
"295" -72.53999 42.44706
"296" -71.105926 42.449349
"297" -71.199153 42.464962
"298" -73.87027 42.47444
"299" -73.775677 42.574317
"300" -71.35794 42.747006
"301" -73.226615 42.775538
"302" -71.513803 42.832251
"303" -78.878375 42.886444
"304" -73.736662 43.005148
"305" -73.736662 43.005148
"306" -77.556088 43.027802
"307" -77.556088 43.027802
"308" -77.556088 43.027802
"309" -77.556088 43.027802
"310" -77.556088 43.027802
"311" -77.556088 43.027802
"312" -77.556088 43.027802
"313" -77.556088 43.027802
"314" -79.920842 43.266237
"315" -79.919647 43.267586
"316" -79.919053 43.268471
"317" -79.91819 43.269166
"318" -79.917438 43.269195
"319" -79.908177 43.270268
"320" -79.926667 43.273397
"321" -79.921616 43.276843
"322" -79.90979 43.280657
"323" -79.910849 43.280748
"324" -78.928824 43.936838
"325" -72.996247 44.395892
"326" -80.278672 37.518181
"327" -77.147432 38.971561
"328" -75.0659 39.789018
"329" -75.0659 39.789018
"330" -75.195718 39.978982
"331" -75.417505 40.109023
"332" -75.417505 40.109023
"333" -75.417505 40.109023
"334" -75.449802 40.450502
"335" -75.37455 40.595582
"336" -80.40349 36.77169
"337" -80.451126 36.786359
"338" -80.470204 36.786877
"339" -80.477072 36.795724
"340" -91.943654 36.795955
"341" -79.067109 36.81985
"342" -79.0657 36.8199
"343" -78.111385 36.83561
"344" -80.25534 36.86345
"345" -91.575418 36.986998
"346" -78.10477 37.02267
"347" -91.09842 37.040627
