"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MAMT02"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT06"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT11"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT12"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT13"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT14"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT15"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT16"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT18"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT19"	"135,145"	"154,154"	"167,167"	"162,162"	"216,226"	"358,358"	"308,308"	"213,216"	"163,163"	"368,382"	"217,220"	
"MAMT20"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT24"		"154,154"			"226,226"		"308,308"			"382,382"		
"MAMT25"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT26"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT27"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT28"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT30"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT33"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAMT34"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,217"	
"MAMT35"	"135,135"	"154,154"	"167,167"	"162,162"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST01"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST02"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST04"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST06"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST07"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST08"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST10"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST11"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST12"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST13"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST14"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST15"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST16"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST17"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST18"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
"MAST19"	"145,145"	"154,154"	"170,170"	"168,168"	"226,226"	"358,358"	"308,308"	"216,216"	"163,163"	"382,382"	"208,208"	
